"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"115","all","X29","dich","g",115,0,0,1,FALSE,"none",NA,NA
"116","all","X29","dich","u",116,1,0,1,FALSE,"none",NA,NA
"117","all","X30","dich","a1",117,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1171","all","X30","dich","a2",117,-0.239093960048499,-Inf,Inf,TRUE,"none",NA,NA
"1172","all","X30","dich","a3",117,0.337738396433082,-Inf,Inf,TRUE,"none",NA,NA
"118","all","X30","dich","d",118,4.96121564192969,-Inf,Inf,TRUE,"none",NA,NA
"119","all","X30","dich","g",119,0,0,1,FALSE,"none",NA,NA
"120","all","X30","dich","u",120,1,0,1,FALSE,"none",NA,NA
"121","all","X31","dich","a1",121,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1211","all","X31","dich","a2",121,-0.843400120990035,-Inf,Inf,TRUE,"none",NA,NA
"1212","all","X31","dich","a3",121,-0.0667108212714501,-Inf,Inf,TRUE,"none",NA,NA
"122","all","X31","dich","d",122,4.21148912167363,-Inf,Inf,TRUE,"none",NA,NA
"123","all","X31","dich","g",123,0,0,1,FALSE,"none",NA,NA
"124","all","X31","dich","u",124,1,0,1,FALSE,"none",NA,NA
"125","all","X32","dich","a1",125,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1251","all","X32","dich","a2",125,0.102682224547373,-Inf,Inf,TRUE,"none",NA,NA
"1252","all","X32","dich","a3",125,-0.233568899589868,-Inf,Inf,TRUE,"none",NA,NA
"126","all","X32","dich","d",126,2.88783021442614,-Inf,Inf,TRUE,"none",NA,NA
"127","all","X32","dich","g",127,0,0,1,FALSE,"none",NA,NA
"128","all","X32","dich","u",128,1,0,1,FALSE,"none",NA,NA
"129","all","X33","dich","a1",129,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1291","all","X33","dich","a2",129,0.319461931701828,-Inf,Inf,TRUE,"none",NA,NA
