"","group","item","class","name","parnum","value","lbound","ubound","est","prior.type","prior_1","prior_2"
"1531","all","X39","dich","a2",153,0.328280980227576,-Inf,Inf,TRUE,"none",NA,NA
"154","all","X39","dich","d",154,2.64221740713481,-Inf,Inf,TRUE,"none",NA,NA
"155","all","X39","dich","g",155,0,0,1,FALSE,"none",NA,NA
"156","all","X39","dich","u",156,1,0,1,FALSE,"none",NA,NA
"157","all","X40","dich","a1",157,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1571","all","X40","dich","a2",157,-0.712079602026896,-Inf,Inf,TRUE,"none",NA,NA
"158","all","X40","dich","d",158,6.07711175106402,-Inf,Inf,TRUE,"none",NA,NA
"159","all","X40","dich","g",159,0,0,1,FALSE,"none",NA,NA
"160","all","X40","dich","u",160,1,0,1,FALSE,"none",NA,NA
"161","all","X41","dich","a1",161,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1611","all","X41","dich","a2",161,0.116690779648697,-Inf,Inf,TRUE,"none",NA,NA
"162","all","X41","dich","d",162,4.66755854387947,-Inf,Inf,TRUE,"none",NA,NA
"163","all","X41","dich","g",163,0,0,1,FALSE,"none",NA,NA
"164","all","X41","dich","u",164,1,0,1,FALSE,"none",NA,NA
"165","all","X42","dich","a1",165,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1651","all","X42","dich","a2",165,0.509442881881372,-Inf,Inf,TRUE,"none",NA,NA
"166","all","X42","dich","d",166,3.78723022572542,-Inf,Inf,TRUE,"none",NA,NA
"167","all","X42","dich","g",167,0,0,1,FALSE,"none",NA,NA
"168","all","X42","dich","u",168,1,0,1,FALSE,"none",NA,NA
"169","all","X43","dich","a1",169,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1691","all","X43","dich","a2",169,0.394429534644197,-Inf,Inf,TRUE,"none",NA,NA
"170","all","X43","dich","d",170,4.332665598459,-Inf,Inf,TRUE,"none",NA,NA
"1711","all","X43","dich","g",171,0,0,1,FALSE,"none",NA,NA
"172","all","X43","dich","u",172,1,0,1,FALSE,"none",NA,NA
"173","all","X44","dich","a1",173,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1731","all","X44","dich","a2",173,0.12454530355307,-Inf,Inf,TRUE,"none",NA,NA
"174","all","X44","dich","d",174,3.48138197235354,-Inf,Inf,TRUE,"none",NA,NA
"175","all","X44","dich","g",175,0,0,1,FALSE,"none",NA,NA
"176","all","X44","dich","u",176,1,0,1,FALSE,"none",NA,NA
"177","all","X45","dich","a1",177,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1771","all","X45","dich","a2",177,-1.0333224931473,-Inf,Inf,TRUE,"none",NA,NA
"178","all","X45","dich","d",178,3.33471512793248,-Inf,Inf,TRUE,"none",NA,NA
"179","all","X45","dich","g",179,0,0,1,FALSE,"none",NA,NA
"180","all","X45","dich","u",180,1,0,1,FALSE,"none",NA,NA
"181","all","X46","dich","a1",181,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1811","all","X46","dich","a2",181,-0.560357577272764,-Inf,Inf,TRUE,"none",NA,NA
"182","all","X46","dich","d",182,4.1044814801558,-Inf,Inf,TRUE,"none",NA,NA
"183","all","X46","dich","g",183,0,0,1,FALSE,"none",NA,NA
"184","all","X46","dich","u",184,1,0,1,FALSE,"none",NA,NA
"185","all","X47","dich","a1",185,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1851","all","X47","dich","a2",185,0.456638073133568,-Inf,Inf,TRUE,"none",NA,NA
"186","all","X47","dich","d",186,3.43911455713665,-Inf,Inf,TRUE,"none",NA,NA
"187","all","X47","dich","g",187,0,0,1,FALSE,"none",NA,NA
"188","all","X47","dich","u",188,1,0,1,FALSE,"none",NA,NA
"189","all","X48","dich","a1",189,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1891","all","X48","dich","a2",189,-0.521594378531871,-Inf,Inf,TRUE,"none",NA,NA
"190","all","X48","dich","d",190,3.38392367967797,-Inf,Inf,TRUE,"none",NA,NA
"191","all","X48","dich","g",191,0,0,1,FALSE,"none",NA,NA
"192","all","X48","dich","u",192,1,0,1,FALSE,"none",NA,NA
"193","all","X49","dich","a1",193,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1931","all","X49","dich","a2",193,-0.44696779788811,-Inf,Inf,TRUE,"none",NA,NA
"194","all","X49","dich","d",194,5.71426579404546,-Inf,Inf,TRUE,"none",NA,NA
"195","all","X49","dich","g",195,0,0,1,FALSE,"none",NA,NA
"196","all","X49","dich","u",196,1,0,1,FALSE,"none",NA,NA
"197","all","X50","dich","a1",197,0.851,-Inf,Inf,TRUE,"none",NA,NA
"1971","all","X50","dich","a2",197,0.704871122922262,-Inf,Inf,TRUE,"none",NA,NA
"198","all","X50","dich","d",198,3.72640299742241,-Inf,Inf,TRUE,"none",NA,NA
"199","all","X50","dich","g",199,0,0,1,FALSE,"none",NA,NA
"200","all","X50","dich","u",200,1,0,1,FALSE,"none",NA,NA
"201","all","X52","dich","a1",201,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2011","all","X52","dich","a2",201,0.0118224230798507,-Inf,Inf,TRUE,"none",NA,NA
"202","all","X52","dich","d",202,3.74127621827601,-Inf,Inf,TRUE,"none",NA,NA
"203","all","X52","dich","g",203,0,0,1,FALSE,"none",NA,NA
"204","all","X52","dich","u",204,1,0,1,FALSE,"none",NA,NA
"205","all","X54","dich","a1",205,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2051","all","X54","dich","a2",205,-0.565421191398864,-Inf,Inf,TRUE,"none",NA,NA
"206","all","X54","dich","d",206,5.02280951115021,-Inf,Inf,TRUE,"none",NA,NA
"207","all","X54","dich","g",207,0,0,1,FALSE,"none",NA,NA
"208","all","X54","dich","u",208,1,0,1,FALSE,"none",NA,NA
"209","all","X55","dich","a1",209,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2091","all","X55","dich","a2",209,0.962349979407543,-Inf,Inf,TRUE,"none",NA,NA
"210","all","X55","dich","d",210,5.16322147175042,-Inf,Inf,TRUE,"none",NA,NA
"2111","all","X55","dich","g",211,0,0,1,FALSE,"none",NA,NA
"2121","all","X55","dich","u",212,1,0,1,FALSE,"none",NA,NA
"213","all","X56","dich","a1",213,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2131","all","X56","dich","a2",213,-0.154603019640703,-Inf,Inf,TRUE,"none",NA,NA
"214","all","X56","dich","d",214,5.98660997791425,-Inf,Inf,TRUE,"none",NA,NA
"215","all","X56","dich","g",215,0,0,1,FALSE,"none",NA,NA
"216","all","X56","dich","u",216,1,0,1,FALSE,"none",NA,NA
"217","all","X57","dich","a1",217,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2171","all","X57","dich","a2",217,0.481038530969074,-Inf,Inf,TRUE,"none",NA,NA
"218","all","X57","dich","d",218,4.66755854387947,-Inf,Inf,TRUE,"none",NA,NA
"219","all","X57","dich","g",219,0,0,1,FALSE,"none",NA,NA
"220","all","X57","dich","u",220,1,0,1,FALSE,"none",NA,NA
"221","all","X58","dich","a1",221,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2211","all","X58","dich","a2",221,0.164074507589246,-Inf,Inf,TRUE,"none",NA,NA
"222","all","X58","dich","d",222,4.04840697442817,-Inf,Inf,TRUE,"none",NA,NA
"223","all","X58","dich","g",223,0,0,1,FALSE,"none",NA,NA
"224","all","X58","dich","u",224,1,0,1,FALSE,"none",NA,NA
"225","all","X59","dich","a1",225,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2251","all","X59","dich","a2",225,0.620528621406771,-Inf,Inf,TRUE,"none",NA,NA
"226","all","X59","dich","d",226,6.07711175106402,-Inf,Inf,TRUE,"none",NA,NA
"227","all","X59","dich","g",227,0,0,1,FALSE,"none",NA,NA
"228","all","X59","dich","u",228,1,0,1,FALSE,"none",NA,NA
"229","all","X60","dich","a1",229,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2291","all","X60","dich","a2",229,-0.261162162724725,-Inf,Inf,TRUE,"none",NA,NA
"230","all","X60","dich","d",230,3.55842498243912,-Inf,Inf,TRUE,"none",NA,NA
"231","all","X60","dich","g",231,0,0,1,FALSE,"none",NA,NA
"232","all","X60","dich","u",232,1,0,1,FALSE,"none",NA,NA
"233","all","X61","dich","a1",233,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2331","all","X61","dich","a2",233,0.038633546583054,-Inf,Inf,TRUE,"none",NA,NA
"234","all","X61","dich","d",234,4.76943118330928,-Inf,Inf,TRUE,"none",NA,NA
"235","all","X61","dich","g",235,0,0,1,FALSE,"none",NA,NA
"236","all","X61","dich","u",236,1,0,1,FALSE,"none",NA,NA
"237","all","X62","dich","a1",237,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2371","all","X62","dich","a2",237,-0.719954406168243,-Inf,Inf,TRUE,"none",NA,NA
"238","all","X62","dich","d",238,3.6368306473768,-Inf,Inf,TRUE,"none",NA,NA
"239","all","X62","dich","g",239,0,0,1,FALSE,"none",NA,NA
"240","all","X62","dich","u",240,1,0,1,FALSE,"none",NA,NA
"241","all","X63","dich","a1",241,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2411","all","X63","dich","a2",241,0.570699877274807,-Inf,Inf,TRUE,"none",NA,NA
"242","all","X63","dich","d",242,4.38024364204109,-Inf,Inf,TRUE,"none",NA,NA
"243","all","X63","dich","g",243,0,0,1,FALSE,"none",NA,NA
"244","all","X63","dich","u",244,1,0,1,FALSE,"none",NA,NA
"245","all","X64","dich","a1",245,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2451","all","X64","dich","a2",245,0.695048818888152,-Inf,Inf,TRUE,"none",NA,NA
"246","all","X64","dich","d",246,4.43053644610154,-Inf,Inf,TRUE,"none",NA,NA
"247","all","X64","dich","g",247,0,0,1,FALSE,"none",NA,NA
"248","all","X64","dich","u",248,1,0,1,FALSE,"none",NA,NA
"249","all","X65","dich","a1",249,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2491","all","X65","dich","a2",249,-0.358176962598967,-Inf,Inf,TRUE,"none",NA,NA
"250","all","X65","dich","d",250,4.00841575219169,-Inf,Inf,TRUE,"none",NA,NA
"2511","all","X65","dich","g",251,0,0,1,FALSE,"none",NA,NA
"252","all","X65","dich","u",252,1,0,1,FALSE,"none",NA,NA
"253","all","X66","dich","a1",253,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2531","all","X66","dich","a2",253,-0.013481440877259,-Inf,Inf,TRUE,"none",NA,NA
"254","all","X66","dich","d",254,4.25292968558469,-Inf,Inf,TRUE,"none",NA,NA
"255","all","X66","dich","g",255,0,0,1,FALSE,"none",NA,NA
"256","all","X66","dich","u",256,1,0,1,FALSE,"none",NA,NA
"257","all","X67","dich","a1",257,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2571","all","X67","dich","a2",257,0.651057889171491,-Inf,Inf,TRUE,"none",NA,NA
"258","all","X67","dich","d",258,6.69135208375702,-Inf,Inf,TRUE,"none",NA,NA
"259","all","X67","dich","g",259,0,0,1,FALSE,"none",NA,NA
"260","all","X67","dich","u",260,1,0,1,FALSE,"none",NA,NA
"261","all","X68","dich","a1",261,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2611","all","X68","dich","a2",261,0.14317825011298,-Inf,Inf,TRUE,"none",NA,NA
"262","all","X68","dich","d",262,5.08977151317741,-Inf,Inf,TRUE,"none",NA,NA
"263","all","X68","dich","g",263,0,0,1,FALSE,"none",NA,NA
"264","all","X68","dich","u",264,1,0,1,FALSE,"none",NA,NA
"265","all","X69","dich","a1",265,0.851,-Inf,Inf,TRUE,"none",NA,NA
"2651","all","X69","dich","a2",265,0.538455784125667,-Inf,Inf,TRUE,"none",NA,NA
"266","all","X69","dich","d",266,3.98902680338491,-Inf,Inf,TRUE,"none",NA,NA
